,synthesis time(ms),expanded transitions,expanded states,n,k,problem,nfeatures,training time,training steps,eta,nnsize,epsilon
0,1.0,18.0,15.0,1,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
1,2.0,21.0,17.0,1,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
2,3.0,24.0,19.0,1,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
3,3.0,31.0,25.0,1,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
4,2.0,33.0,26.0,1,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
5,2.0,36.0,28.0,1,6,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
6,2.0,39.0,30.0,1,7,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
7,29.0,42.0,32.0,1,8,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
8,3.0,45.0,34.0,1,9,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
9,3.0,48.0,36.0,1,10,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
10,5.0,52.0,39.0,1,11,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
11,4.0,54.0,40.0,1,12,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
12,3.0,57.0,42.0,1,13,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
13,4.0,61.0,45.0,1,14,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
14,4.0,64.0,47.0,1,15,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
15,8.0,76.0,56.0,2,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
16,5.0,57.0,46.0,2,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
17,12.0,95.0,69.0,2,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
18,11.0,95.0,71.0,2,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
19,39.0,114.0,81.0,2,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
20,14.0,119.0,85.0,2,6,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
21,82.0,318.0,185.0,2,7,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
22,100.0,367.0,209.0,2,8,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
23,115.0,363.0,211.0,2,9,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
24,105.0,397.0,227.0,2,10,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
25,146.0,447.0,254.0,2,11,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
26,180.0,469.0,268.0,2,12,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
27,173.0,489.0,280.0,2,13,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
28,220.0,546.0,308.0,2,14,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
29,197.0,542.0,309.0,2,15,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
30,33.0,139.0,109.0,3,1,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
31,58.0,145.0,115.0,3,2,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
32,471.0,613.0,362.0,3,3,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
33,538.0,674.0,392.0,3,4,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
34,820.0,861.0,471.0,3,5,TA,11.0,128.4871482849121,212000,1e-05,20,0.1
35,,,,3,6,TA,,128.4871482849121,212000,1e-05,20,0.1
36,,,,3,7,TA,,128.4871482849121,212000,1e-05,20,0.1
37,,,,3,8,TA,,128.4871482849121,212000,1e-05,20,0.1
38,,,,3,9,TA,,128.4871482849121,212000,1e-05,20,0.1
39,,,,3,10,TA,,128.4871482849121,212000,1e-05,20,0.1
40,,,,3,11,TA,,128.4871482849121,212000,1e-05,20,0.1
41,,,,3,12,TA,,128.4871482849121,212000,1e-05,20,0.1
42,,,,3,13,TA,,128.4871482849121,212000,1e-05,20,0.1
43,,,,3,14,TA,,128.4871482849121,212000,1e-05,20,0.1
44,,,,3,15,TA,,128.4871482849121,212000,1e-05,20,0.1
45,,,,4,1,TA,,128.4871482849121,212000,1e-05,20,0.1
46,,,,4,2,TA,,128.4871482849121,212000,1e-05,20,0.1
47,,,,4,3,TA,,128.4871482849121,212000,1e-05,20,0.1
48,,,,4,4,TA,,128.4871482849121,212000,1e-05,20,0.1
49,,,,4,5,TA,,128.4871482849121,212000,1e-05,20,0.1
50,,,,5,1,TA,,128.4871482849121,212000,1e-05,20,0.1
51,,,,6,1,TA,,128.4871482849121,212000,1e-05,20,0.1
52,,,,7,1,TA,,128.4871482849121,212000,1e-05,20,0.1
53,,,,8,1,TA,,128.4871482849121,212000,1e-05,20,0.1
54,,,,9,1,TA,,128.4871482849121,212000,1e-05,20,0.1
55,,,,10,1,TA,,128.4871482849121,212000,1e-05,20,0.1
56,,,,11,1,TA,,128.4871482849121,212000,1e-05,20,0.1
57,,,,12,1,TA,,128.4871482849121,212000,1e-05,20,0.1
58,,,,13,1,TA,,128.4871482849121,212000,1e-05,20,0.1
59,,,,14,1,TA,,128.4871482849121,212000,1e-05,20,0.1
60,,,,15,1,TA,,128.4871482849121,212000,1e-05,20,0.1
